date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-08-24,136.063,137.969,135.3769,136.969,94.5581,9279500.0,0.0,1.0
1999-08-25,137.188,138.781,136.156,138.375,95.5289,6005300.0,0.0,1.0
1999-08-26,138.281,138.422,136.5,136.719,94.3855,4322300.0,0.0,1.0
1999-08-27,136.875,137.063,135.063,135.063,93.242,6247400.0,0.0,1.0
1999-08-30,135.3552,135.5,132.0,132.563,91.5161,4652000.0,0.0,1.0
1999-08-31,132.938,133.7462,130.875,132.063,91.171,11453700.0,0.0,1.0
1999-09-01,132.938,133.734,132.313,133.688,92.2928,6863900.0,0.0,1.0
1999-09-02,132.125,132.672,130.6473,132.109,91.2033,10896300.0,0.0,1.0
1999-09-03,134.875,136.5,134.688,135.969,93.8677,9160800.0,0.0,1.0
1999-09-07,136.063,136.625,135.219,135.469,93.5225,4560800.0,0.0,1.0
1999-09-08,134.844,136.063,134.031,134.813,93.0694,6159600.0,0.0,1.0
1999-09-09,134.7522,135.25,133.688,134.75,93.0263,6177800.0,0.0,1.0
1999-09-10,136.25,136.359,134.938,135.875,93.803,2934500.0,0.0,1.0
1999-09-13,135.125,135.469,134.5,134.953,93.1665,2320500.0,0.0,1.0
1999-09-14,134.063,134.563,133.375,134.063,92.5517,3736000.0,0.0,1.0
1999-09-15,135.438,135.438,131.875,131.938,91.0847,6984500.0,0.0,1.0
1999-09-16,132.5,132.813,130.313,132.453,91.4406,15377600.0,0.0,1.0
1999-09-17,132.625,133.938,132.156,133.75,92.596,8542300.0,0.3720000000000001,1.0
1999-09-20,133.938,134.0,133.094,133.563,92.4662,2803900.0,0.0,1.0
1999-09-21,132.25,132.469,130.156,130.75,90.5191,9335200.0,0.0,1.0
1999-09-22,131.2557,131.844,129.75,130.602,90.4217,13009100.0,0.0,1.0
1999-09-23,131.813,131.813,127.625,127.875,88.5287,12204100.0,0.0,1.0
1999-09-24,127.75,128.375,126.3094,127.75,88.4422,13792900.0,0.0,1.0
1999-09-27,128.75,129.763,128.281,128.594,89.0263,6970300.0,0.0,1.0
1999-09-28,127.938,128.813,125.563,128.344,88.8532,11063400.0,0.0,1.0
1999-09-29,128.4378,129.125,126.75,126.813,87.7931,7580300.0,0.0,1.0
1999-09-30,127.438,129.4358,126.969,128.75,89.1344,7498900.0,0.0,1.0
1999-10-01,127.938,128.563,126.625,128.469,88.9397,11127100.0,0.0,1.0
1999-10-04,129.188,130.875,128.75,130.75,90.5191,6341600.0,0.0,1.0
1999-10-05,130.719,131.969,128.688,130.625,90.4326,11976000.0,0.0,1.0
1999-10-06,130.75,132.813,130.6902,132.625,91.8172,10308200.0,0.0,1.0
1999-10-07,132.859,133.0,131.5,131.875,91.2979,6535600.0,0.0,1.0
1999-10-08,131.75,133.875,131.234,133.875,92.6825,9674300.0,0.0,1.0
1999-10-11,133.594,134.1244,133.313,133.656,92.5311,4282000.0,0.0,1.0
1999-10-12,133.125,133.313,131.1759,131.594,91.1032,8686100.0,0.0,1.0
1999-10-13,130.688,131.313,128.188,128.188,88.7451,10469300.0,0.0,1.0
1999-10-14,128.484,129.188,126.75,128.156,88.7234,10562200.0,0.0,1.0
1999-10-15,126.0,126.75,124.5,124.875,86.4518,14238700.0,0.0,1.0
1999-10-18,124.938,125.938,123.438,125.781,87.0792,9758800.0,0.0,1.0
1999-10-19,127.188,128.25,125.938,127.0,87.9229,14392900.0,0.0,1.0
