date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-08-27,62.75,65.0,62.688,64.75,2.0181,111708800.0,0.0,1.0
1999-08-30,65.0,65.0,62.0,62.063,1.9344,84148400.0,0.0,1.0
1999-08-31,62.593999999999994,65.875,62.063,65.25,2.0337,158636800.0,0.0,1.0
1999-09-01,67.0,68.813,66.0,68.625,2.1389,197156400.0,0.0,1.0
1999-09-02,67.625,71.4379,66.875,70.563,2.1993,223787200.0,0.0,1.0
1999-09-03,71.938,75.25,70.5,73.5,2.2909,408816800.0,0.0,1.0
1999-09-07,73.75,77.938,73.5,76.375,2.3805,246198400.0,0.0,1.0
1999-09-08,76.188,77.688,74.5,74.5,2.322,190551200.0,0.0,1.0
1999-09-09,75.5,75.938,73.875,75.563,2.3552,133520800.0,0.0,1.0
1999-09-10,76.0,77.688,74.688,77.438,2.4136,114690800.0,0.0,1.0
1999-09-13,77.063,77.063,74.813,75.0,2.3376,63000000.0,0.0,1.0
1999-09-14,74.719,78.5,74.688,77.813,2.4253,97073200.0,0.0,1.0
1999-09-15,78.8642,79.125,75.25,75.375,2.3493,89894000.0,0.0,1.0
1999-09-16,76.063,78.063,73.875,76.813,2.3941,110471200.0,0.0,1.0
1999-09-17,77.313,77.75,76.25,76.938,2.398,69319600.0,0.0,1.0
1999-09-20,77.0,80.125,76.875,79.063,2.4642,114167200.0,0.0,1.0
1999-09-21,73.188,73.25,69.0,69.25,2.1584,839389600.0,0.0,1.0
1999-09-22,69.75,71.625,69.016,70.313,2.1915,280792400.0,0.0,1.0
1999-09-23,71.125,71.25,63.0,63.313,1.9733,285938800.0,0.0,1.0
1999-09-24,63.375,67.016,63.0,64.938,2.024,294968800.0,0.0,1.0
1999-09-27,66.375,66.75,61.188,61.313,1.911,237048000.0,0.0,1.0
1999-09-28,61.5,62.0,57.438,59.625,1.8584,353740800.0,0.0,1.0
1999-09-29,60.25,61.25,58.0,59.063,1.8409,164320800.0,0.0,1.0
1999-09-30,59.563,64.1814,59.25,63.313,1.9733,227021200.0,0.0,1.0
1999-10-01,62.125,62.438,59.5,61.718999999999994,1.9237,153697600.0,0.0,1.0
1999-10-04,62.375,64.875,62.375,64.563,2.0123,114839200.0,0.0,1.0
1999-10-05,65.625,68.125,64.75,67.938,2.1175,203551600.0,0.0,1.0
1999-10-06,69.375,69.625,67.0,67.188,2.0941,201068000.0,0.0,1.0
1999-10-07,68.438,68.625,64.875,66.375,2.0688,151471600.0,0.0,1.0
1999-10-08,66.188,66.313,63.5,65.563,2.0435,95701200.0,0.0,1.0
1999-10-11,66.0,68.25,66.0,66.688,2.0785,65780400.0,0.0,1.0
1999-10-12,67.875,69.62,67.0,67.688,2.1097,140938000.0,0.0,1.0
