date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-08-27,128.75,128.75,128.28,128.5,26.8565,44700.0,0.0,1.0
2001-08-28,127.588,127.75,126.79,127.03,26.5492,319800.0,0.0,1.0
2001-08-29,127.3532,127.4,126.3,126.45,26.428,128400.0,0.0,1.0
2001-08-30,125.0,125.0,124.3,124.65,26.0518,36900.0,0.0,1.0
2001-08-31,124.65,125.15,124.4,124.95,26.1145,1656900.0,0.0,1.0
2001-09-04,122.3,123.5,122.1,122.1,25.5189,570000.0,0.0,1.0
2001-09-05,121.7,122.05,121.0,121.35,25.3621,31500.0,0.0,1.0
2001-09-06,119.5,119.5,118.6,118.6,24.7874,284700.0,0.0,1.0
2001-09-07,118.4,118.4,117.5,117.9,24.6411,99900.0,0.0,1.0
2001-09-10,115.3,116.6,114.6,116.55,24.3589,1438200.0,0.0,1.0
2001-09-17,110.25,111.9,110.1,111.45,23.29300000000001,170400.0,0.0,1.0
2001-09-18,110.45,111.25,110.0,110.55,23.1049,991500.0,0.0,1.0
2001-09-19,111.6,111.6,108.85,110.25,23.0422,435600.0,0.0,1.0
2001-09-20,107.3,107.3,105.45,105.45,22.039,123000.0,0.0,1.0
2001-09-21,98.0,103.5,98.0,102.5,21.4225,110100.0,0.0,1.0
2001-09-24,106.0,107.45,105.35,107.25,22.4152,139500.0,0.0,1.0
2001-09-25,108.4,109.3,107.55,108.5,22.6765,151500.0,0.0,1.0
2001-09-26,109.45,109.45,108.7,109.05,22.7914,138600.0,0.0,1.0
2001-09-27,109.2,110.8,108.85,110.77,23.1509,662400.0,0.0,1.0
2001-09-28,111.9,113.16,111.68,112.93,23.6023,663900.0,0.0,1.0
2001-10-01,111.2,112.32,110.9855,112.32,23.4749,432900.0,0.0,1.0
2001-10-02,111.0,112.55,111.0,112.55,23.5577,309900.0,0.0553,1.0
2001-10-03,110.5,114.19,110.5,113.7,23.7984,398700.0,0.0,1.0
2001-10-04,114.6939,115.5,113.6,114.91,24.0517,578400.0,0.0,1.0
2001-10-05,114.91,115.6,114.3,115.09,24.0894,274200.0,0.0,1.0
2001-10-08,113.73,115.25,113.6,114.4,23.945,127800.0,0.0,1.0
2001-10-09,114.95,115.355,113.95,114.1,23.8822,2442600.0,0.0,1.0
2001-10-10,115.5,116.6,115.5,116.4,24.3636,84600.0,0.0,1.0
2001-10-11,117.65,117.94,116.5,117.2,24.531,197400.0,0.0,1.0
2001-10-12,115.8,117.05,115.8,117.05,24.4996,83400.0,0.0,1.0
2001-10-15,115.5,116.0,115.1418,115.2,24.1124,192600.0,0.0,1.0
2001-10-16,116.3,116.8,115.8,116.8,24.4473,361800.0,0.0,1.0
2001-10-17,119.0,119.0068,116.9,116.9,24.4682,224700.0,0.0,1.0
2001-10-18,116.3,116.6,115.0,115.95,24.2694,260700.0,0.0,1.0
2001-10-19,114.4,114.9,113.76,114.8,24.0287,258000.0,0.0,1.0
2001-10-22,114.0,115.6,114.0,115.6,24.1961,393000.0,0.0,1.0
2001-10-23,116.9,117.3,116.52,116.52,24.3887,159300.0,0.0,1.0
2001-10-24,117.5,118.0,117.1,117.69,24.6336,161100.0,0.0,1.0
2001-10-25,116.25,117.7,115.743,117.52,24.59800000000001,63900.0,0.0,1.0
2001-10-26,117.1082,118.28,117.1,118.28,24.7571,169500.0,0.0,1.0
2001-10-29,118.0,118.09,115.81,115.81,24.2401,595500.0,0.0,1.0
2001-10-30,115.1,115.4,114.06,114.5,23.9659,260100.0,0.0,1.0
2001-10-31,115.9,116.25,114.6609,114.82,24.0329,783000.0,0.0,1.0
2001-11-01,116.4,117.24,115.7,117.24,24.5394,810300.0,0.0,1.0
2001-11-02,116.98,117.28,116.34,117.23,24.5373,908700.0,0.0,1.0
2001-11-05,117.4,118.66,117.4,118.4,24.7822,168600.0,0.0,1.0
2001-11-06,118.5,119.85,118.1,119.63,25.0396,651300.0,0.0,1.0
2001-11-07,117.9,118.9,117.8,118.55,24.8136,352200.0,0.0,1.0
2001-11-08,119.3,120.47,119.3,119.4,24.9915,989400.0,0.0,1.0
2001-11-09,118.3107,119.33,118.25,119.2,24.9496,970200.0,0.0,1.0
2001-11-12,117.5,117.78,116.75,117.6,24.6147,512700.0,0.0,1.0
2001-11-13,118.3,118.82,118.23,118.68,24.8408,298800.0,0.0,1.0
2001-11-14,119.2,119.37,118.6,118.8,24.8659,152400.0,0.0,1.0
2001-11-15,118.75,119.3751,118.69,119.31,24.9727,4697400.0,0.0,1.0
2001-11-16,120.0,120.28,119.54,119.98,25.1129,659700.0,0.0,1.0
2001-11-19,121.2,121.43,120.4052,120.58,25.2385,432900.0,0.0,1.0
2001-11-20,120.5,120.55,119.75,119.75,25.0648,358800.0,0.0,1.0
2001-11-21,119.8,119.8,118.99,119.44,24.9999,143100.0,0.0,1.0
2001-11-23,119.4,119.82,119.4,119.82,25.0794,228300.0,0.0,1.0
2001-11-26,120.9,121.2,120.38,120.98,25.3222,360300.0,0.0,1.0
2001-11-27,120.25,120.26,119.0272,120.04,25.1255,443700.0,0.0,1.0
2001-11-28,118.0,118.77,117.9,117.95,24.688,534000.0,0.0,1.0
2001-11-29,118.45,118.6,117.87,118.21,24.7424,1168500.0,0.0,1.0
2001-11-30,118.4,119.05,118.4,118.66,24.8366,1092600.0,0.0,1.0
2001-12-03,117.3,117.92,117.0494,117.65,24.6252,541500.0,0.0,1.0
2001-12-04,118.2,119.32,118.2,119.32,24.9748,1386300.0,0.0,1.0
2001-12-05,120.85,122.4,120.77,122.19,25.5755,524400.0,0.0,1.0
2001-12-06,122.0,122.7755,121.83,122.57,25.655,508200.0,0.0,1.0
2001-12-07,121.1,121.44,120.51,120.72,25.2678,5501100.0,0.0,1.0
2001-12-10,118.4,119.25,118.25,118.4,24.7822,564000.0,0.0,1.0
2001-12-11,118.8,119.33,118.61,118.64,24.8324,1061100.0,0.0,1.0
2001-12-12,119.5,119.5,118.3,119.13,24.935,447900.0,0.0,1.0
2001-12-13,117.0,117.25,116.06,116.31,24.3447,728100.0,0.0,1.0
2001-12-14,117.0,117.19,116.59,116.98,24.485,874800.0,0.0,1.0
2001-12-17,117.5,118.85,117.45,118.37,24.7759,678300.0,0.0,1.0
2001-12-18,118.85,119.2,118.42,118.69,24.8429,908400.0,0.0,1.0
2001-12-19,117.0,117.65,116.77,117.45,24.5833,772500.0,0.0,1.0
2001-12-20,117.0,117.3,116.55,116.88,24.464,1377600.0,0.0,1.0
2001-12-21,117.1,117.47,116.95,117.47,24.5875,901200.0,0.0,1.0
2001-12-24,116.4029,117.15,116.4,116.95,24.4958,291300.0,0.0273,1.0
2001-12-26,116.0,117.38,116.0,116.85,24.4748,499500.0,0.0,1.0
2001-12-27,118.0,118.6,117.85,118.4,24.7995,418500.0,0.0,1.0
2001-12-28,119.1,119.4797,119.0,119.34,24.9964,1309200.0,0.0,1.0
2001-12-31,119.43,119.91,119.2983,119.3,24.988000000000003,717300.0,0.0,1.0
2002-01-02,119.85,119.96,118.96,119.96,25.1263,1215900.0,0.0,1.0
2002-01-03,120.1,121.04,120.0,121.04,25.3525,971400.0,0.0,1.0
2002-01-04,122.0,122.07,121.0,121.84,25.52,377400.0,0.0,1.0
2002-01-07,120.73,121.15,120.0139,120.22,25.1807,387900.0,0.0,1.0
2002-01-08,118.6,119.36,118.45,118.85,24.8938,532500.0,0.0,1.0
2002-01-09,118.8223,119.06,117.6,117.6,24.6319,1169100.0,0.0,1.0
2002-01-10,117.89,118.13,117.5,117.88,24.6906,539400.0,0.0,1.0
2002-01-11,118.05,118.34,117.1,117.21,24.5503,697200.0,0.0,1.0
2002-01-14,116.55,117.0,115.76,116.04,24.3052,537600.0,0.0,1.0
2002-01-15,116.5,116.7,115.15,115.95,24.2863,887100.0,0.0,1.0
2002-01-16,114.4,114.98,113.91,113.91,23.859,425400.0,0.0,1.0
2002-01-17,115.75,115.89,114.95,115.55,24.2026,526200.0,0.0,1.0
2002-01-18,115.2,115.5,114.75,115.5,24.1921,580800.0,0.0,1.0
2002-01-22,115.63,115.63,113.57,114.15,23.9093,561900.0,0.0,1.0
2002-01-23,114.68,114.7,114.12,114.45,23.9722,757200.0,0.0,1.0
2002-01-24,115.61,115.8,114.81,115.07,24.102,467700.0,0.0,1.0
2002-01-25,113.9,114.26,113.33,113.43,23.7585,582000.0,0.0,1.0
2002-01-28,114.4,114.54,113.7456,114.49,23.9805,1504800.0,0.0,1.0
2002-01-29,113.55,113.9,110.79,111.31,23.3145,463200.0,0.0,1.0
2002-01-30,111.45,112.54,110.46,112.54,23.5721,507900.0,0.0,1.0
2002-01-31,112.85,112.8549,111.65,112.4,23.5428,734100.0,0.0,1.0
2002-02-01,112.9646,112.97,111.78,112.15,23.4904,452100.0,0.0,1.0
2002-02-04,112.45,112.45,110.57,111.23,23.2977,683400.0,0.0,1.0
2002-02-05,110.1028,110.36,108.3,108.3,22.8327,259800.0,0.0,1.0
2002-02-06,108.7,109.5,108.7,108.85,22.7992,382800.0,0.0,1.0
2002-02-07,109.8,110.58,109.5,110.06,23.0526,122100.0,0.0,1.0
2002-02-08,111.1,111.54,110.43,111.54,23.3626,536100.0,0.0,1.0
2002-02-11,112.25,112.91,112.0,112.9,23.6475,240300.0,0.0,1.0
2002-02-12,112.55,113.21,112.152,112.85,23.637,107100.0,0.0,1.0
2002-02-13,113.15,113.38,112.6,113.0,23.6685,141900.0,0.0,1.0
2002-02-14,113.4956,114.58,113.45,113.9,23.857,225000.0,0.0,1.0
