date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-08-24,118.75,121.75,118.516,120.438,52.9314,13891400.0,0.0,1.0
1999-08-25,121.188,123.5,119.875,123.0,54.0576,11352000.0,0.0,1.0
1999-08-26,123.0039,123.438,120.766,120.953,53.158,9753000.0,0.0,1.0
1999-08-27,121.859,121.875,119.438,119.75,52.6292,9635400.0,0.0,1.0
1999-08-30,120.25,120.625,117.75,118.063,51.8876,10141600.0,0.0,1.0
1999-08-31,118.875,120.125,116.25,119.375,52.4644,14590400.0,0.0,1.0
1999-09-01,120.1252,121.25,119.375,120.234,52.8421,10752000.0,0.0,1.0
1999-09-02,118.0,120.438,117.7487,119.813,52.6567,14583200.0,0.0,1.0
1999-09-03,123.2422,125.359,122.813,125.313,55.0739,14195400.0,0.0,1.0
1999-09-07,125.063,126.313,124.563,124.75,54.8267,9009000.0,0.0,1.0
1999-09-08,124.0,125.25,122.063,123.063,54.085,14303400.0,0.0,1.0
1999-09-09,123.125,125.125,122.5,124.813,54.8542,12677600.0,0.0,1.0
1999-09-10,126.5,127.484,125.063,126.25,55.4859,10251000.0,0.0,1.0
1999-09-13,126.125,126.375,124.063,124.734,54.8198,7240800.0,0.0,1.0
1999-09-14,124.25,126.297,124.0,125.422,55.122,10022600.0,0.0,1.0
1999-09-15,126.9847,126.984,122.875,123.0,54.0576,16096000.0,0.0,1.0
1999-09-16,122.9489,124.063,120.391,122.938,54.0301,15371000.0,0.0,1.0
1999-09-17,124.063,126.875,123.875,126.625,55.6507,14506400.0,0.0,1.0
1999-09-20,127.0,127.5,126.063,126.922,55.7812,6187200.0,0.0,1.0
1999-09-21,125.813,126.063,123.516,123.875,54.4421,12265800.0,0.0,1.0
1999-09-22,124.063,125.844,122.563,125.188,55.019,12441800.0,0.0,1.0
1999-09-23,126.5,126.75,119.266,120.0,52.7391,19766000.0,0.0,1.0
1999-09-24,119.25,120.625,117.25,120.156,52.8078,23570800.0,0.0,1.0
1999-09-27,121.875,122.75,120.625,121.0,53.1786,12608800.0,0.0,1.0
1999-09-28,120.3872,122.0,117.813,121.563,53.4258,20622000.0,0.0,1.0
1999-09-29,121.563,122.438,119.125,119.125,52.3546,15557000.0,0.0,1.0
1999-09-30,120.25,121.625,118.75,120.375,52.9039,17604200.0,0.0,1.0
1999-10-01,118.75,120.422,117.5,120.422,52.9245,19607400.0,0.0,1.0
1999-10-04,121.0559,123.563,120.375,123.125,54.1125,12434200.0,0.0,1.0
1999-10-05,123.563,125.5,121.375,124.0,54.4971,19526400.0,0.0,1.0
1999-10-06,124.75,126.672,122.859,126.484,55.5889,19098200.0,0.0,1.0
1999-10-07,127.188,127.797,125.25,126.188,55.4585,22013600.0,0.0,1.0
1999-10-08,125.688,127.875,124.0,127.516,56.0422,22523200.0,0.0,1.0
1999-10-11,127.875,129.375,127.563,129.313,56.8319,13016000.0,0.0,1.0
1999-10-12,128.8735,129.906,126.0,126.375,55.5409,20182800.0,0.0,1.0
1999-10-13,124.9418,126.438,122.125,122.625,53.8928,22570600.0,0.0,1.0
1999-10-14,123.063,124.25,121.063,123.391,54.2293,22130400.0,0.0,1.0
1999-10-15,120.25,122.0,119.016,119.75,52.6292,33703000.0,0.0,1.0
1999-10-18,119.875,120.313,114.828,118.234,51.9631,24714800.0,0.0,1.0
1999-10-19,119.516,120.125,116.875,118.875,52.2447,26657200.0,0.0,1.0
1999-10-20,120.688,123.484,119.5,122.5,53.8378,22486400.0,0.0,1.0
1999-10-21,120.5,124.5,119.625,124.5,54.7168,22454800.0,0.0,1.0
1999-10-22,125.234,126.506,123.5,123.938,54.4696,16589400.0,0.0,1.0
1999-10-25,123.375,125.359,122.875,124.0,54.4971,13855400.0,0.0,1.0
1999-10-26,125.5,126.188,122.75,123.0,54.0576,13542400.0,0.0,1.0
1999-10-27,122.688,123.25,120.891,122.813,53.9752,15225200.0,0.0,1.0
1999-10-28,124.75,127.5,123.625,127.063,55.843,14103800.0,0.0,1.0
1999-10-29,130.0,132.5,129.563,131.5,57.7933,19000000.0,0.0,1.0
1999-11-01,131.5023,133.063,130.641,130.813,57.4911,9681800.0,0.0,1.0
1999-11-02,131.5,133.125,130.391,130.891,57.5255,12834800.0,0.0,1.0
1999-11-03,132.75,134.25,132.375,133.5,58.6723,18752600.0,0.0,1.0
1999-11-04,135.359,135.625,133.563,135.0,59.3315,20048600.0,0.0,1.0
1999-11-05,137.75,138.438,136.375,136.375,59.9358,15134600.0,0.0,1.0
1999-11-08,136.875,139.609,136.438,139.125,61.1444,10890800.0,0.0,1.0
1999-11-09,140.25,140.5,137.0053,138.188,60.7324,14629800.0,0.0,1.0
1999-11-10,138.25,141.188,137.625,140.0,61.5289,16561000.0,0.0,1.0
1999-11-11,141.5,142.688,140.25,142.5,62.6277,18501400.0,0.0,1.0
1999-11-12,143.2567,144.5,138.75,144.375,63.4518,28646600.0,0.0,1.0
1999-11-15,144.5,145.0,143.375,144.094,63.3282,10909400.0,0.0,1.0
1999-11-16,144.625,148.4351,144.0,147.75,64.935,19126400.0,0.0,1.0
1999-11-17,147.75,148.391,145.0,145.75,64.056,21683600.0,0.0,1.0
1999-11-18,146.75,150.219,145.875,150.219,66.02,17738400.0,0.0,1.0
1999-11-19,149.563,151.8146,149.0,151.563,66.6106,17939400.0,0.0,1.0
1999-11-22,151.875,155.0,150.25,155.0,65.5943,18841800.0,0.0,1.0
1999-11-23,152.875,153.0,148.5,149.938,65.8964,24047600.0,0.0,1.0
1999-11-24,150.375,155.4774,148.813,154.875,68.0664,18617800.0,0.0,1.0
1999-11-26,156.813,157.5559,154.75,155.375,68.2861,8045200.0,0.0,1.0
1999-11-29,155.063,156.375,152.625,152.813,67.1599,20485200.0,0.0,1.0
1999-11-30,153.125,153.375,147.0,147.0,64.6054,23702400.0,0.0,1.0
1999-12-01,148.625,150.938,147.5,150.188,66.0063,23205800.0,0.0,1.0
1999-12-02,150.75,155.25,150.656,154.953,68.1007,17229200.0,0.0,1.0
1999-12-03,158.625,160.375,157.813,158.25,69.5497,21444600.0,0.0,1.0
1999-12-06,158.859,161.0,157.375,159.688,70.1814,16018400.0,0.0,1.0
1999-12-07,160.188,160.813,157.672,159.688,70.1814,23397000.0,0.0,1.0
1999-12-08,159.734,160.984,157.375,157.75,69.33,19563000.0,0.0,1.0
1999-12-09,160.0,160.875,154.5,158.5,69.6596,28445400.0,0.0,1.0
1999-12-10,159.813,160.375,156.25,159.813,70.2364,20428400.0,0.0,1.0
1999-12-13,159.266,162.672,158.563,161.984,71.1909,16209200.0,0.0,1.0
1999-12-14,161.5,162.438,158.0,159.063,69.9068,27760200.0,0.0,1.0
1999-12-15,157.25,162.125,155.875,162.125,71.2527,31797200.0,0.0,1.0
1999-12-16,164.25,166.5,163.5,166.125,73.0107,27219600.0,0.0,1.0
1999-12-17,169.0,169.75,166.859,167.563,73.6425,23892400.0,0.0,1.0
1999-12-20,168.813,170.5,167.375,169.75,74.6039,15392000.0,0.0,1.0
1999-12-21,170.25,178.875,169.28099999999995,178.875,78.6143,26003800.0,0.0,1.0
1999-12-22,178.375,178.625,174.875,178.313,78.367,22313600.0,0.0,1.0
1999-12-23,179.734,181.5,178.0,180.438,79.3009,17543600.0,0.0,1.0
1999-12-27,180.625,180.688,175.813,179.375,78.834,19281800.0,0.0,1.0
1999-12-28,179.5,181.0,177.125,178.25,78.3395,15346400.0,0.0,1.0
1999-12-29,180.0,185.0,179.75,185.0,81.3061,16512600.0,0.0,1.0
1999-12-30,187.25,187.5,183.0,183.0,80.4271,21887000.0,0.0,1.0
1999-12-31,185.25,186.3696,182.75,182.75,80.3173,14464400.0,0.0,1.0
2000-01-03,192.375,192.375,181.5,189.5,83.2838,36345200.0,0.0,1.0
2000-01-04,184.0,187.0,175.875,176.5,77.5704,33786600.0,0.0,1.0
2000-01-05,175.0,179.25,168.5,172.0,75.5928,42496600.0,0.0,1.0
2000-01-06,173.75,176.0,159.5008,160.188,70.4012,37134800.0,0.0,1.0
2000-01-07,165.875,180.0,165.0,180.0,79.1087,28138200.0,0.0,1.0
2000-01-10,182.0,187.875,179.875,185.0,81.3061,29675600.0,0.0,1.0
2000-01-11,183.5,185.75,174.0,176.0,77.3507,32546600.0,0.0,1.0
2000-01-12,178.0,178.484,172.0118,172.125,75.6476,29050000.0,0.0,1.0
2000-01-13,177.0,183.0,174.15599999999995,182.5,80.2074,25165200.0,0.0,1.0
2000-01-14,186.0,187.25,184.0,186.75,82.0752,21898600.0,0.0,1.0
2000-01-18,184.125,188.875,182.875,187.75,82.5147,16752400.0,0.0,1.0
2000-01-19,186.984,192.0,184.859,192.0,84.3826,19006000.0,0.0,1.0
2000-01-20,191.0,193.75,188.016,190.125,83.5585,25958000.0,0.0,1.0
2000-01-21,193.0,193.125,190.125,192.5,84.6023,18698200.0,0.0,1.0
2000-01-24,194.875,195.25,181.938,183.25,80.53699999999998,28340400.0,0.0,1.0
2000-01-25,183.75,188.234,178.813,186.0,81.7456,33276200.0,0.0,1.0
2000-01-26,186.5,186.625,178.0,178.5,78.4494,23095600.0,0.0,1.0
2000-01-27,183.5,185.0,175.25,181.125,79.6031,30739200.0,0.0,1.0
2000-01-28,180.0,180.938,169.5,172.0,75.5928,35313800.0,0.0,1.0
2000-01-31,171.75,180.0,167.0,179.375,78.834,36014600.0,0.0,1.0
2000-02-01,179.063,185.0,176.875,184.188,80.949,26417600.0,0.0,1.0
2000-02-02,184.5,189.438,184.188,185.75,81.6357,26169200.0,0.0,1.0
2000-02-03,188.625,193.25,184.563,193.0,84.8221,30579800.0,0.0,1.0
2000-02-04,194.0,196.484,192.4468,194.313,85.3989,26640000.0,0.0,1.0
2000-02-07,194.5,197.25,192.5,197.0,86.58,17761000.0,0.0,1.0
2000-02-08,198.75,205.75,198.75,205.25,90.2058,21999400.0,0.0,1.0
2000-02-09,204.125,204.391,197.5,198.0,87.0195,27258200.0,0.0,1.0
2000-02-10,199.6382,204.5,197.109,204.5,89.8762,26341600.0,0.0,1.0
2000-02-11,204.125,204.125,196.0,199.75,87.7887,24876000.0,0.0,1.0
2000-02-14,199.984,200.0,195.5,199.5,87.6788,22814600.0,0.0,1.0
2000-02-15,197.875,201.25,191.731,200.938,88.3105,30572800.0,0.0,1.0
2000-02-16,199.813,203.3704,198.625,200.0,87.8985,25310600.0,0.0,1.0
2000-02-17,202.375,206.5,199.25,204.25,89.7664,30080200.0,0.0,1.0
2000-02-18,205.25,206.0,196.875,196.875,86.5251,25271200.0,0.0,1.0
2000-02-22,198.0,199.875,192.5,197.5,86.7998,37226200.0,0.0,1.0
2000-02-23,199.359,210.0,198.313,208.5,91.6342,32170800.0,0.0,1.0
2000-02-24,209.75,213.609,204.0,213.0,93.6119,48868200.0,0.0,1.0
2000-02-25,212.375,215.0,207.75,208.125,91.4694,32617600.0,0.0,1.0
2000-02-28,206.5,211.375,201.0,208.0,91.4144,38216200.0,0.0,1.0
2000-02-29,211.5,214.188,209.875,213.5,93.8317,23978600.0,0.0,1.0
2000-03-01,214.5,217.125,212.9965,215.25,94.6008,24468400.0,0.0,1.0
2000-03-02,216.125,216.375,209.5,210.266,92.4102,32739200.0,0.0,1.0
2000-03-03,216.0,222.25,214.0,222.125,97.6223,32017200.0,0.0,1.0
2000-03-06,223.5,226.438,220.5,223.875,98.3914,23268400.0,0.0,1.0
2000-03-07,227.625,227.75,217.5,220.5,96.9081,39471000.0,0.0,1.0
2000-03-08,222.0,224.0,212.563,222.5,97.7871,43512600.0,0.0,1.0
2000-03-09,222.438,231.0101,218.188,230.0,101.0833,30101400.0,0.0,1.0
2000-03-10,229.75,232.875,227.016,229.0,100.6438,29750600.0,0.0,1.0
2000-03-13,220.0,228.25,219.063,223.0,98.0069,37544200.0,0.0,1.0
2000-03-14,225.5,226.75,210.0,214.75,94.381,39106800.0,0.0,1.0
2000-03-15,213.0,214.0,203.75,205.75,90.4256,51202600.0,0.0,1.0
2000-03-16,210.75,218.5,202.0,217.5,95.5896,55282200.0,0.0,1.0
2000-03-17,216.0,222.125,215.8731,221.625,97.4025,31422400.0,0.0,1.0
2000-03-20,111.0,111.5,106.25,107.688,94.6557,21167200.0,0.0,2.0
2000-03-21,106.125,111.938,103.563,111.75,98.2266,33435100.0,0.0,1.0
2000-03-22,113.5,115.969,111.1304,114.0,100.2043,24370200.0,0.0,1.0
2000-03-23,114.484,117.75,113.563,116.0,101.9623,19227400.0,0.0,1.0
2000-03-24,117.484,120.5,115.016,117.563,103.3357,22063000.0,0.0,1.0
2000-03-27,118.0,119.5,117.125,117.75,103.5005,11752600.0,0.0,1.0
2000-03-28,116.9849,117.813,113.125,114.75,100.8635,18336300.0,0.0,1.0
2000-03-29,115.375,115.438,110.0038,110.0,96.6884,27189500.0,0.0,1.0
2000-03-30,107.25,112.75,103.5,107.25,94.2711,42328700.0,0.0,1.0
2000-03-31,108.141,110.625,104.0,109.5,96.2489,31349900.0,0.0,1.0
2000-04-03,107.766,109.125,100.75,102.938,90.4805,31551300.0,0.0,1.0
2000-04-04,103.623,103.938,88.31299999999996,101.938,89.6016,66213000.0,0.0,1.0
2000-04-05,97.5,103.938,96.25,100.125,88.0084,37631500.0,0.0,1.0
2000-04-06,102.375,103.875,99.75,102.5,90.096,30499900.0,0.0,1.0
2000-04-07,104.125,107.375,102.625,106.625,93.7218,20645500.0,0.0,1.0
2000-04-10,107.625,107.688,99.25,100.125,88.0084,26988200.0,0.0,1.0
2000-04-11,97.125,101.5,95.75,97.75,85.9208,34497100.0,0.0,1.0
2000-04-12,97.625,98.75,90.25,92.375,80.8666,34824400.0,0.0,1.0
2000-04-13,92.813,96.0,88.0,88.0,77.3507,46330500.0,0.0,1.0
2000-04-14,86.06299999999996,88.5,78.0,80.375,70.6484,60851300.0,0.0,1.0
2000-04-17,78.016,90.0,77.9992,89.625,78.779,55398500.0,0.0,1.0
2000-04-18,89.484,93.0,87.375,92.0,80.8666,36260900.0,0.0,1.0
2000-04-19,92.5051,93.625,89.06299999999996,89.18799999999996,78.3945,28082500.0,0.0,1.0
2000-04-20,90.375,90.969,86.06299999999996,87.25,76.6915,21255600.0,0.0,1.0
2000-04-24,83.43799999999997,85.251,79.875,84.75,74.494,31190900.0,0.0,1.0
2000-04-25,86.5,90.5,86.00399999999998,90.469,79.5207,28663200.0,0.0,1.0
2000-04-26,90.625,92.422,87.125,87.375,76.8013,25688300.0,0.0,1.0
2000-04-27,83.5,92.484,83.5,91.25,80.2074,37010400.0,0.0,1.0
2000-04-28,93.563,94.75,92.125,94.75,83.2838,24828400.0,0.0,1.0
2000-05-01,95.75,96.875,94.25,95.625,84.0529,23205700.0,0.0,1.0
2000-05-02,94.875,95.625,89.75,90.125,79.2185,20307900.0,0.0,1.0
2000-05-03,89.5,90.25,85.516,89.125,78.3395,26589700.0,0.0,1.0
2000-05-04,89.0,90.7599,87.625,89.31299999999996,78.5043,17750700.0,0.0,1.0
2000-05-05,88.125,92.313,88.0434,91.438,80.3722,20571200.0,0.0,1.0
2000-05-08,90.5,90.75,87.75,87.875,77.2408,13903000.0,0.0,1.0
2000-05-09,88.5,89.125,84.31299999999997,86.0,75.5928,19825800.0,0.0,1.0
2000-05-10,84.375,84.984,79.5,79.75,70.09899999999999,34847500.0,0.0,1.0
2000-05-11,82.75,85.25,80.8757,84.625,74.3841,24709700.0,0.0,1.0
2000-05-12,85.375,87.56299999999996,84.0,84.625,74.3841,17832000.0,0.0,1.0
2000-05-15,84.81299999999997,88.625,82.625,88.31299999999996,77.6253,17950800.0,0.0,1.0
2000-05-16,90.0,91.5,88.06299999999996,90.813,79.8228,23758800.0,0.0,1.0
2000-05-17,89.25,90.5,87.75,88.93799999999996,78.1748,20339400.0,0.0,1.0
2000-05-18,88.9937,89.359,85.375,85.75,75.373,19063000.0,0.0,1.0
2000-05-19,83.75,85.0,81.313,81.688,71.8021,28178100.0,0.0,1.0
2000-05-22,81.625,82.25,75.578,81.625,71.7472,43879800.0,0.0,1.0
2000-05-23,81.375,82.625,74.25,74.813,65.7591,31898500.0,0.0,1.0
2000-05-24,75.0,79.875,72.25,79.5,69.8793,49476000.0,0.0,1.0
2000-05-25,80.25,82.25,76.5,77.75,68.3411,29632700.0,0.0,1.0
2000-05-26,77.75,79.25,75.75,77.75,68.3411,18203200.0,0.0,1.0
2000-05-30,80.0,85.93799999999996,80.0,85.56299999999997,75.2081,31590400.0,0.0,1.0
2000-05-31,84.469,86.67200000000004,82.75,83.125,73.0656,29675400.0,0.0,1.0
2000-06-01,85.18799999999997,88.375,84.0,87.375,76.8013,28993500.0,0.0,1.0
2000-06-02,92.625,94.109,91.875,93.625,82.295,31677200.0,0.0,1.0
2000-06-05,92.25,95.313,91.875,93.859,82.501,23784300.0,0.0,1.0
2000-06-06,93.188,95.0,90.875,91.25,80.2074,23200500.0,0.0,1.0
2000-06-07,91.563,94.0,89.56299999999996,93.688,82.3499,22524400.0,0.0,1.0
2000-06-08,94.625,94.875,91.625,93.25,81.9653,19313800.0,0.0,1.0
2000-06-09,94.75,94.75,93.0,93.75,82.4049,17014600.0,0.0,1.0
2000-06-12,94.313,94.313,90.0,90.75,79.7679,16484700.0,0.0,1.0
2000-06-13,90.5,94.625,89.359,94.25,82.8443,25187900.0,0.0,1.0
2000-06-14,94.875,94.8792,91.5,92.125,80.9765,20274500.0,0.0,1.0
2000-06-15,91.875,93.8805,90.875,93.75,82.4049,18807800.0,0.0,1.0
2000-06-16,94.7484,95.313,93.063,94.25,82.8443,21203400.0,0.0,1.0
2000-06-19,94.016,98.25,92.688,98.0,86.1405,20042500.0,0.0,1.0
2000-06-20,98.25,99.688,97.188,97.625,85.8109,20988300.0,0.0,1.0
2000-06-21,96.813,99.719,96.688,98.875,86.9097,20880600.0,0.0,1.0
2000-06-22,98.625,99.0,94.5011,95.25,83.7233,21526700.0,0.0,1.0
2000-06-23,95.0,95.5,91.375,91.5,80.4271,24888100.0,0.0,1.0
2000-06-26,93.0614,94.422,92.0,94.0,82.6246,22169200.0,0.0,1.0
2000-06-27,93.7714,95.063,92.375,92.875,81.6357,14786000.0,0.0,1.0
2000-06-28,92.984,95.5,92.5,94.0,82.6246,19259800.0,0.0,1.0
2000-06-29,92.938,93.375,90.625,91.641,80.5507,21355800.0,0.0,1.0
2000-06-30,91.813,93.953,91.313,93.438,82.1302,15153100.0,0.0,1.0
2000-07-03,93.5,95.25,93.25,95.25,83.7233,5212000.0,0.0,1.0
2000-07-05,93.625,93.969,90.875,91.563,80.482,16489000.0,0.0,1.0
2000-07-06,91.563,94.75,90.06299999999996,94.0,82.6246,23594700.0,0.0,1.0
2000-07-07,95.0,97.0,94.438,95.938,84.3277,16603200.0,0.0,1.0
2000-07-10,94.688,95.875,94.0,94.484,83.0503,12659400.0,0.0,1.0
2000-07-11,94.063,95.75,92.813,95.0,83.5036,14374600.0,0.0,1.0
2000-07-12,95.4306,97.75,94.625,97.25,85.4813,18252600.0,0.0,1.0
2000-07-13,97.938,99.75,97.125,98.5,86.58,19566700.0,0.0,1.0
2000-07-14,100.2534,101.125,98.813,100.625,88.4479,17219400.0,0.0,1.0
2000-07-17,100.938,102.0546,99.875,101.75,89.4367,13140500.0,0.0,1.0
2000-07-18,100.375,100.781,98.359,99.5,87.459,20684000.0,0.0,1.0
2000-07-19,98.313,98.938,95.656,97.25,85.4813,21828500.0,0.0,1.0
2000-07-20,97.875,100.5,97.266,100.375,88.2281,19521200.0,0.0,1.0
2000-07-21,98.438,99.516,97.0014,97.0,85.2615,14411400.0,0.0,1.0
2000-07-24,97.938,99.0,94.25,95.0,83.5036,18579200.0,0.0,1.0
2000-07-25,95.625,97.0,93.813,95.75,84.1628,19065700.0,0.0,1.0
2000-07-26,95.5,96.125,93.25,95.625,84.0529,20318700.0,0.0,1.0
2000-07-27,93.938,95.063,91.563,91.875,80.7568,26141800.0,0.0,1.0
2000-07-28,92.188,92.875,86.0,86.875,76.3618,36485600.0,0.0,1.0
2000-07-31,87.625,90.125,85.719,89.43799999999996,78.6143,27609900.0,0.0,1.0
2000-08-01,89.81299999999996,89.984,87.68799999999996,88.25,77.5704,15751800.0,0.0,1.0
2000-08-02,87.875,90.391,86.5,86.68799999999996,76.197,23578200.0,0.0,1.0
2000-08-03,84.25,91.25,83.31299999999997,90.438,79.4932,35874700.0,0.0,1.0
2000-08-04,92.0,92.766,89.125,90.125,79.2185,22283400.0,0.0,1.0
2000-08-07,90.875,93.031,90.25,92.25,81.0864,15103300.0,0.0,1.0
2000-08-08,92.063,95.0,91.5,94.125,82.7345,14832300.0,0.0,1.0
2000-08-09,93.6822,94.438,91.375,91.625,80.53699999999998,18649800.0,0.0,1.0
2000-08-10,91.813,92.234,89.5,89.81299999999996,78.9438,15336200.0,0.0,1.0
2000-08-11,89.25,91.1046,87.875,91.063,80.0426,21050600.0,0.0,1.0
2000-08-14,91.375,93.0,90.203,93.0,81.7456,12539300.0,0.0,1.0
2000-08-15,92.75,93.984,92.0,93.0,81.7456,14090300.0,0.0,1.0
2000-08-16,93.438,94.688,92.0,93.938,82.5696,15245300.0,0.0,1.0
2000-08-17,92.938,95.875,92.875,95.75,84.1628,14492400.0,0.0,1.0
2000-08-18,95.938,96.625,94.688,95.25,83.7233,14706700.0,0.0,1.0
2000-08-21,96.0021,96.859,94.375,95.5,83.9431,13560100.0,0.0,1.0
2000-08-22,96.0,97.359,95.266,95.5,83.9431,14878200.0,0.0,1.0
2000-08-23,94.688,97.4307,93.828,97.063,85.3165,21396400.0,0.0,1.0
2000-08-24,97.438,98.688,96.063,98.563,86.635,13567700.0,0.0,1.0
2000-08-25,98.48,99.953,97.0,98.031,86.16799999999998,11764700.0,0.0,1.0
2000-08-28,98.25,99.844,97.938,98.5,86.58,12314200.0,0.0,1.0
2000-08-29,98.625,99.172,97.859,99.0,87.0195,11162800.0,0.0,1.0
2000-08-30,98.313,99.5,97.7592,98.875,86.9097,10545300.0,0.0,1.0
2000-08-31,99.618,102.0,99.563,101.625,89.3269,15588700.0,0.0,1.0
2000-09-01,103.0,103.516,101.188,102.625,90.2058,14071900.0,0.0,1.0
2000-09-05,101.625,101.75,99.422,99.5,87.459,16348300.0,0.0,1.0
2000-09-06,99.25,99.484,95.5,96.0,84.3826,20964900.0,0.0,1.0
2000-09-07,96.813,99.422,96.563,98.125,86.2504,16669700.0,0.0,1.0
2000-09-08,97.766,98.0,94.766,95.125,83.6135,23475200.0,0.0,1.0
2000-09-11,94.5,96.125,92.0,92.813,81.5808,27262100.0,0.0,1.0
2000-09-12,93.5,94.688,90.844,91.375,80.3173,24256000.0,0.0,1.0
2000-09-13,90.25,93.875,90.0,93.5,82.1851,34093100.0,0.0,1.0
2000-09-14,95.25,95.938,92.641,93.0,81.7456,28615300.0,0.0,1.0
2000-09-15,93.125,93.625,90.688,91.313,80.2623,24994600.0,0.0,1.0
2000-09-18,91.813,93.0,88.0,89.875,78.9988,29218500.0,0.0,1.0
2000-09-19,90.75,93.781,89.875,93.188,81.9104,27568700.0,0.0,1.0
2000-09-20,93.375,95.2304,91.313,94.625,83.1739,33123200.0,0.0,1.0
