date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-12-12,51.18,51.18,51.18,51.18,37.582,100.0,0.0,1.0
2007-12-13,50.64,51.25,50.64,51.25,37.6335,11600.0,0.0,1.0
2007-12-14,51.02,51.17,50.899,50.9,37.3764,5200.0,0.0,1.0
2007-12-17,48.7,48.84,48.55,48.68,35.7463,7400.0,0.0,1.0
2007-12-18,49.16,49.16,48.5,48.5,35.6141,4000.0,0.0,1.0
2007-12-19,53.0,53.0,48.2483,48.75,35.7977,17700.0,0.0,1.0
2007-12-20,49.6621,49.66,47.96,48.45,35.6059,19500.0,0.039,1.0
2007-12-21,49.43,49.59,48.64,49.3,36.2305,46800.0,0.0,1.0
2007-12-24,50.35,50.35,49.22,49.56,36.4216,34300.0,0.0,1.0
2007-12-26,50.24,50.24,49.0,49.16,36.1276,22600.0,0.0,1.0
2007-12-27,49.9,49.94,49.28,49.61,36.4584,36700.0,0.0,1.0
2007-12-28,50.02,50.1,49.5,50.05,36.7817,36000.0,0.0,1.0
2007-12-31,50.1,50.98,49.7,50.98,37.4652,63700.0,0.0,1.0
2008-01-02,50.11,50.3,49.04,50.27,36.9434,24800.0,0.0,1.0
2008-01-03,50.0,50.23,49.8,50.23,36.914,8200.0,0.0,1.0
2008-01-04,51.65,51.65,48.5,48.5,35.6426,10600.0,0.0,1.0
2008-01-07,47.73,47.74,47.28,47.68,35.04,16900.0,0.0,1.0
2008-01-08,48.63,48.63,47.58,47.63,35.0033,3500.0,0.0,1.0
2008-01-09,48.0596,48.06,46.47,47.25,34.724,10300.0,0.0,1.0
2008-01-10,46.66,46.66,46.4,46.58,34.2316,7400.0,0.0,1.0
2008-01-11,46.25,46.251,45.72,46.24,33.9817,2400.0,0.0,1.0
2008-01-14,48.53,48.53,46.48,46.72,34.3345,10000.0,0.0,1.0
2008-01-15,45.89,45.9881,45.5,45.55,33.4747,13300.0,0.0,1.0
2008-01-16,44.75,44.75,43.93,43.97,32.3135,4500.0,0.0,1.0
2008-01-17,45.37,45.37,43.77,44.1,32.4091,16000.0,0.0,1.0
2008-01-18,44.32,44.32,44.03,44.03,32.3576,3700.0,0.0,1.0
2008-01-22,46.0006,88.06,41.13,45.38,33.3497,14200.0,0.0,1.0
2008-01-23,42.19,46.91,42.0978,46.91,34.4741,58900.0,0.0,1.0
2008-01-24,45.64,45.64,44.43,44.48,32.6883,29000.0,0.0,1.0
2008-01-25,45.35,45.35,44.54,44.56,32.7471,13700.0,0.0,1.0
2008-01-28,44.99,44.99,43.97,44.36,32.6001,9500.0,0.0,1.0
2008-01-29,44.9,45.16,44.57,44.97,33.0484,11700.0,0.0,1.0
2008-01-30,47.35,47.35,43.0,45.27,33.2689,6200.0,0.0,1.0
2008-01-31,42.37,45.66,42.37,45.66,33.5555,15200.0,0.0,1.0
2008-02-01,46.47,46.47,45.59,45.65,33.5481,13400.0,0.0,1.0
2008-02-04,46.05,46.78,46.05,46.59,34.239,2900.0,0.0,1.0
2008-02-05,45.5,45.5,44.31,44.31,32.5634,7300.0,0.0,1.0
2008-02-06,45.0,45.0,44.33,44.47,32.681,4600.0,0.0,1.0
2008-02-07,43.88,43.88,42.59,42.59,31.2994,15800.0,0.0,1.0
2008-02-08,42.25,45.5,42.25,43.13,31.6962,25700.0,0.0,1.0
2008-02-11,44.65,44.65,43.16,43.72,32.1298,12400.0,0.0,1.0
