date,close,ma200,dev,z_score,prob
2018-01-25,27.66,,,,
2018-01-26,27.66,,,,
2018-01-29,29.58,,,,
2018-01-30,30.55,,,,
2018-01-31,30.65,,,,
2018-02-01,29.107,,,,
2018-02-02,32.85,,,,
2018-02-05,43.86,,,,
2018-02-06,43.115,,,,
2018-02-07,44.54,,,,
2018-02-08,55.18,,,,
2018-02-09,50.28,,,,
2018-02-12,48.55,,,,
2018-02-13,47.97,,,,
2018-02-14,42.48,,,,
2018-02-15,41.5,,,,
2018-02-16,42.12,,,,
2018-02-20,43.84,,,,
2018-02-21,44.5,,,,
2018-02-22,43.92,,,,
2018-02-23,40.49,,,,
2018-02-26,39.28,,,,
2018-02-27,42.41,,,,
2018-02-28,44.16,,,,
2018-03-01,47.2,,,,
2018-03-02,45.12,,,,
2018-03-05,43.46,,,,
2018-03-06,43.69,,,,
2018-03-07,43.04,,,,
2018-03-08,42.59,,,,
2018-03-09,38.25,,,,
2018-03-12,39.76,,,,
2018-03-13,40.71,,,,
2018-03-14,41.6,,,,
2018-03-15,40.44,,,,
2018-03-16,39.3,,,,
2018-03-19,43.37,,,,
2018-03-20,42.54,,,,
2018-03-21,40.99,,,,
2018-03-22,47.2,,,,
2018-03-23,50.0,,,,
2018-03-26,46.3,,,,
2018-03-27,49.78,,,,
2018-03-28,50.095,,,,
2018-03-29,49.0,,,,
2018-04-02,51.84,,,,
2018-04-03,49.62,,,,
2018-04-04,48.68,,,,
2018-04-05,47.37,,,,
2018-04-06,49.8,,,,
2018-04-09,49.8,,,,
2018-04-10,49.8,,,,
2018-04-11,49.8,,,,
2018-04-12,48.09,,,,
2018-04-13,45.98,,,,
2018-04-16,43.65,,,,
2018-04-17,40.3,,,,
2018-04-18,40.56,,,,
2018-04-19,40.97,,,,
2018-04-20,42.11,,,,
2018-04-23,41.6,,,,
2018-04-24,41.59,,,,
2018-04-25,44.55,,,,
2018-04-26,42.46,,,,
2018-04-27,41.425,,,,
2018-04-30,41.02,,,,
2018-05-01,42.36,,,,
2018-05-02,39.76,,,,
2018-05-03,43.0,,,,
2018-05-04,40.3,,,,
2018-05-07,39.75,,,,
2018-05-08,39.75,,,,
2018-05-09,38.79,,,,
2018-05-10,36.71,,,,
2018-05-11,35.83,,,,
2018-05-14,34.78,,,,
2018-05-15,37.3,,,,
2018-05-16,36.065,,,,
2018-05-17,35.17,,,,
2018-05-18,35.42,,,,
2018-05-21,34.0,,,,
2018-05-22,34.242,,,,
2018-05-23,33.98,,,,
2018-05-24,34.18,,,,
2018-05-25,33.82,,,,
2018-05-29,38.42,,,,
2018-05-30,36.56,,,,
2018-05-31,36.94,,,,
2018-06-01,35.13,,,,
2018-06-04,35.13,,,,
2018-06-05,34.02,,,,
2018-06-06,32.44,,,,
2018-06-07,32.82,,,,
2018-06-08,32.43,,,,
2018-06-11,32.08,,,,
2018-06-12,31.98,,,,
2018-06-13,32.14,,,,
2018-06-14,31.272,,,,
2018-06-15,31.62,,,,
2018-06-18,31.248,,,,
2018-06-19,32.839,,,,
2018-06-20,32.09,,,,
