date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-08-30,46.875,47.0,45.438,45.5,31.6832,3630500.0,0.0,1.0
1999-08-31,45.938,45.938,43.6279,44.313,30.8563,5459300.0,0.0,1.0
1999-09-01,44.313,45.25,43.938,45.0,31.335,4822400.0,0.0,1.0
1999-09-02,44.0,45.813,43.563,45.688,31.8138,5377700.0,0.0,1.0
1999-09-03,46.813,47.563,46.125,47.563,33.1194,5704000.0,0.0,1.0
1999-09-07,47.438,47.4407,46.25,46.25,32.2055,3287800.0,0.0,1.0
1999-09-08,46.0,47.125,45.75,47.125,32.8148,4001500.0,0.0,1.0
1999-09-09,46.75,47.563,46.25,47.5,33.0759,4500100.0,0.0,1.0
1999-09-10,47.875,47.938,46.8766,47.688,33.2064,4673000.0,0.0,1.0
1999-09-13,47.125,48.0,46.938,48.0,33.4241,3440500.0,0.0,1.0
1999-09-14,47.5637,47.875,46.875,46.938,32.6842,3768100.0,0.0,1.0
1999-09-15,47.6253,48.0,45.375,45.5,31.717,6166500.0,0.05,1.0
1999-09-16,45.563,45.813,44.563,45.313,31.5863,5519900.0,0.0,1.0
1999-09-17,45.938,46.813,45.563,46.625,32.5012,6945500.0,0.0,1.0
1999-09-20,46.563,47.25,46.188,46.188,32.1963,3053600.0,0.0,1.0
1999-09-21,45.0,46.063,44.75,45.75,31.8913,5844200.0,0.0,1.0
1999-09-22,45.813,47.688,45.563,47.25,32.9369,5396500.0,0.0,1.0
1999-09-23,47.625,47.813,46.625,46.688,32.5448,5696900.0,0.0,1.0
1999-09-24,46.563,47.5,46.188,46.5,32.4141,6339600.0,0.0,1.0
1999-09-27,47.0,47.438,46.313,46.313,32.2834,5204700.0,0.0,1.0
1999-09-28,46.25,47.125,45.688,46.938,32.7191,5213700.0,0.0,1.0
1999-09-29,46.75,46.75,45.563,45.625,31.8042,4894100.0,0.0,1.0
1999-09-30,46.125,48.0,46.063,47.563,33.1547,6599200.0,0.0,1.0
1999-10-01,48.0,48.3756,47.563,48.313,33.6776,6477200.0,0.0,1.0
1999-10-04,48.938,50.438,48.813,50.313,35.0717,7629100.0,0.0,1.0
1999-10-05,50.313,52.625,49.938,51.25,35.7252,9211600.0,0.0,1.0
1999-10-06,50.563,51.688,49.875,51.375,35.8123,7048300.0,0.0,1.0
1999-10-07,51.375,51.502,50.688,51.313,35.7688,4454400.0,0.0,1.0
1999-10-08,51.875,55.375,51.688,55.375,38.6006,9488400.0,0.0,1.0
1999-10-11,54.8121,55.0,53.938,53.938,37.5986,6749900.0,0.0,1.0
1999-10-12,53.938,54.438,53.188,53.875,37.555,4934900.0,0.0,1.0
1999-10-13,53.563,53.813,51.25,51.313,35.7688,6068700.0,0.0,1.0
1999-10-14,51.25,52.938,50.75,52.375,36.5094,5331800.0,0.0,1.0
1999-10-15,51.8713,52.25,50.75,50.813,35.4202,6979200.0,0.0,1.0
1999-10-18,51.125,52.4993,49.5,52.125,36.3351,7225700.0,0.0,1.0
1999-10-19,52.625,53.375,52.25,52.688,36.7273,5559200.0,0.0,1.0
1999-10-20,53.375,55.0,52.75,54.813,38.2086,5603100.0,0.0,1.0
1999-10-21,54.188,54.938,53.313,54.875,38.2521,5073700.0,0.0,1.0
1999-10-22,55.438,58.0,55.063,57.063,39.777,7534000.0,0.0,1.0
1999-10-25,55.9345,56.938,55.5,55.938,38.9927,6902500.0,0.0,1.0
1999-10-26,54.5,54.563,51.5,53.25,37.1194,13657200.0,0.0,1.0
1999-10-27,52.75,53.313,51.5,53.0,36.9451,7300700.0,0.0,1.0
1999-10-28,54.125,55.938,54.063,55.75,38.8621,9089700.0,0.0,1.0
1999-10-29,56.9328,58.5,56.313,56.313,39.2542,9685800.0,0.0,1.0
1999-11-01,57.25,57.875,56.125,56.25,39.2106,4778500.0,0.0,1.0
1999-11-02,56.313,57.125,55.625,56.125,39.1235,4579600.0,0.0,1.0
1999-11-03,55.75,56.438,55.0,55.75,38.8621,4081300.0,0.0,1.0
1999-11-04,56.5,57.0,55.875,56.0,39.0363,4150600.0,0.0,1.0
1999-11-05,57.5,58.75,57.25,58.063,40.474,6239900.0,0.0,1.0
1999-11-08,58.5,59.188,58.313,58.5,40.779,4881400.0,0.0,1.0
1999-11-09,58.0,58.188,56.563,58.0,40.4305,10026300.0,0.0,1.0
1999-11-10,58.0,58.5062,57.125,57.125,39.8205,6991200.0,0.0,1.0
1999-11-11,56.875,57.5,56.688,57.438,40.0384,6290200.0,0.0,1.0
1999-11-12,57.9342,58.875,56.875,58.875,41.0404,5607700.0,0.0,1.0
1999-11-15,59.0,60.688,58.25,58.938,41.084,9037800.0,0.0,1.0
1999-11-16,59.5,60.375,58.75,59.875,41.7375,6215300.0,0.0,1.0
1999-11-17,59.375,60.625,58.688,58.875,41.0404,6465700.0,0.0,1.0
1999-11-18,59.188,59.75,58.5,59.375,41.389,5723900.0,0.0,1.0
1999-11-19,58.375,59.063,57.75,58.125,40.5176,4987500.0,0.0,1.0
1999-11-22,57.188,57.25,56.125,56.75,39.5591,6322600.0,0.0,1.0
1999-11-23,56.625,56.625,55.5,55.938,38.9927,6477000.0,0.0,1.0
1999-11-24,56.5,58.5,56.438,57.938,40.3869,5668800.0,0.0,1.0
1999-11-26,58.0,58.688,57.625,58.203,40.5721,2297100.0,0.0,1.0
1999-11-29,58.5,59.375,58.0,59.0,41.1276,4793000.0,0.0,1.0
1999-11-30,58.75,58.938,57.25,57.625,40.1691,4376100.0,0.0,1.0
1999-12-01,57.688,59.0,57.688,58.578,40.8335,5319400.0,0.0,1.0
1999-12-02,59.0,59.188,57.0,57.672,40.2017,5285000.0,0.0,1.0
1999-12-03,58.188,59.2502,57.938,59.063,41.1711,6172000.0,0.0,1.0
1999-12-06,58.563,60.5,58.25,59.578,41.5305,5449000.0,0.0,1.0
1999-12-07,59.813,60.125,58.0,58.0,40.4305,6361700.0,0.0,1.0
1999-12-08,58.813,59.313,58.0,58.65600000000001,40.8879,4600000.0,0.0,1.0
1999-12-09,58.5,62.25,57.625,62.25,43.3931,8808100.0,0.0,1.0
1999-12-10,62.5,64.5,61.875,63.25,44.0901,12595800.0,0.0,1.0
1999-12-13,65.5,69.188,64.75,68.0,47.4012,9391000.0,0.0,1.0
1999-12-14,67.0,68.5,66.938,67.063,46.7478,7505100.0,0.0,1.0
1999-12-15,67.0,67.0657,65.125,66.016,46.0523,7842800.0,0.05,1.0
1999-12-16,66.7493,68.75,66.0,68.625,47.8726,8487000.0,0.0,1.0
1999-12-17,68.813,68.875,64.75,65.0,45.3438,14669900.0,0.0,1.0
1999-12-20,66.125,66.438,63.188,64.281,44.8424,6330600.0,0.0,1.0
1999-12-21,64.0,65.688,63.563,64.813,45.213,4629900.0,0.0,1.0
1999-12-22,64.625,66.063,64.6191,65.688,45.8234,3752700.0,0.0,1.0
1999-12-23,67.0,68.0,66.75,67.375,47.0006,3847300.0,0.0,1.0
1999-12-27,67.313,70.125,67.3125,69.438,48.4394,5231600.0,0.0,1.0
1999-12-28,68.625,70.188,68.563,69.313,48.3522,3532000.0,0.0,1.0
1999-12-29,69.563,70.0,67.375,67.375,47.0006,2517600.0,0.0,1.0
1999-12-30,68.125,69.563,67.813,67.813,47.3058,2643900.0,0.0,1.0
1999-12-31,68.313,70.25,68.25,69.125,48.2214,2112700.0,0.0,1.0
2000-01-03,68.375,69.0,65.5,66.813,46.6082,8369900.0,0.0,1.0
2000-01-04,65.5,65.813,64.188,64.313,44.8642,6745100.0,0.0,1.0
2000-01-05,63.875,64.375,62.188,63.0,43.9486,7018700.0,0.0,1.0
2000-01-06,63.0,64.563,62.688,63.688,44.4282,6544500.0,0.0,1.0
2000-01-07,64.5,68.938,64.5,68.5,47.7854,7976900.0,0.0,1.0
2000-01-10,67.25,67.5,65.625,67.25,46.9134,6714300.0,0.0,1.0
2000-01-11,67.063,67.75,65.625,66.25,46.2158,4943300.0,0.0,1.0
2000-01-12,66.188,66.75,65.063,65.063,45.3874,4085000.0,0.0,1.0
2000-01-13,66.0,66.125,65.0,65.125,45.431,5021000.0,0.0,1.0
2000-01-14,64.0,65.938,64.0,64.5,44.995,6312200.0,0.0,1.0
2000-01-18,63.188,66.438,63.063,65.563,45.7362,6442200.0,0.0,1.0
2000-01-19,65.25,65.813,64.0,64.063,44.6898,4819900.0,0.0,1.0
2000-01-20,64.438,64.5,62.5,63.375,44.2102,5738100.0,0.0,1.0
2000-01-21,63.938,63.938,62.063,62.438,43.5562,6952500.0,0.0,1.0
2000-01-24,63.438,63.438,57.5,59.375,41.4198,7799900.0,0.0,1.0
2000-01-25,59.813,61.188,59.5,61.125,42.6406,6403800.0,0.0,1.0
2000-01-26,61.125,62.063,60.0,61.938,43.2074,4538400.0,0.0,1.0
2000-01-27,61.313,61.5,57.875,59.125,41.2454,7323300.0,0.0,1.0
2000-01-28,58.875,58.875,53.5,55.125,38.4551,14029400.0,0.0,1.0
2000-01-31,54.563,55.5,54.125,54.75,38.1935,7972700.0,0.0,1.0
2000-02-01,55.0,59.5,54.938,58.688,40.9402,8359000.0,0.0,1.0
2000-02-02,58.875,60.125,57.938,58.375,40.7223,6034600.0,0.0,1.0
2000-02-03,58.375,58.813,56.25,58.375,40.7223,6999000.0,0.0,1.0
2000-02-04,57.938,57.938,55.997,56.313,39.2834,6549700.0,0.0,1.0
2000-02-07,56.625,56.625,54.6248,55.75,38.891,6043700.0,0.0,1.0
2000-02-08,57.313,59.688,56.875,59.5,41.5071,8576100.0,0.0,1.0
2000-02-09,60.0,60.125,57.313,57.813,40.3298,8216600.0,0.0,1.0
2000-02-10,57.625,58.375,56.813,57.0,39.7631,4591600.0,0.0,1.0
2000-02-11,57.4334,57.5,55.625,56.063,39.1091,4816700.0,0.0,1.0
